objectid,filename,title,عنوان,creator,مبتكر/مؤلف,date,العام/السنة,description,الوصف,subjects,رؤوس الموضوعات/الأوسمة,location (country),المكان (البلد),site,الموقع الأثري,period,الحقبة التاريخية,type,النوع,format,الصيغة/عملية التصوير,rights,rightsstatement,المكان (البلد),Collection,المجموعة,object_location,latitude,longitude,source,identifier,language,display_template
ACOR_BAP_00001-MF,ACOR_BAP_00001-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Teleilat Ghassul near area A - Main cut,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00001-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00002-MF,ACOR_BAP_00002-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Teleilat Ghassul Area E - sanctuary,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00002-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00003-MF,ACOR_BAP_00003-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Teleilat Ghassul Area E - Abu Nabil and David McNeil,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00003-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00004-MF,ACOR_BAP_00004-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,1977,١٩٩٧,Area E - Teleilat Ghassulsite,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00004-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00005-MF,ACOR_BAP_00005-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,"Teleilat Ghassul - Area E, looking south, house",موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00005-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00006-MF,ACOR_BAP_00006-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Teleilat Ghassul storage Area (E) looking west,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00006-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00007-MF,ACOR_BAP_00007-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Teleilat Ghassul - looking to Jericho,موقع تليلات الغسول الأثري، مُطل على منطقة أريحا,"excavations (Archaeology), landscapes, archaeological sites",حفريات (علم الآثار)، مناظر طبيعية، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00007-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00008-MF,ACOR_BAP_00008-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Teleilat Ghassul Area A Main cut looking east,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00008-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00009-MF,ACOR_BAP_00009-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Teleilat Ghassul Main cut Area A,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00009-MF.jpg,,,Barbara Porter Collection,,en,image
ACOR_BAP_00010-MF,ACOR_BAP_00010-MF.jpg,,,"Porter, Barbara A.",بورتر، بربرا أ.,,,Teleilat Ghassul Area A - house level E,موقع تليلات الغسول الأثري,"excavations (Archaeology), archaeological sites",حفريات (علم الآثار)، مواقع أثرية,Teleilat Ghassul (Jordan),تليلات الغسول (الأردن),Teleilat Ghassul,تليلات الغسول,"Neolithic, Chalcolithic",العصر الحجري الحديث، العصر الحجري النحاسي,Photograph,صورة,35mm slide,,,,,Barbara A. Porter collection,مجموعة بربرا أ. بورتر,/objects/ACOR_BAP_00010-MF.jpg,,,Barbara Porter Collection,,en,image
